Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU12980-MONOMER		L-Ala-D/L-Glu epimerase	BSU12980		BSU12980
BSU24390-MONOMER		stage III sporulation protein (feeding tube apparatus)	BSU24390	CCI-PM-BAC-POS-GP	BSU24390
BSU28030-MONOMER		cell-shape determining protein	BSU28030	CCI-CYTOSOL-GP	BSU28030
BSU00650-MONOMER		conserved protein of unknown function	BSU00650		BSU00650
BSU22950-MONOMER		bacilliredoxin reductase	BSU22950		BSU22950
BSU05990-MONOMER		component of the twin-arginine pre-protein translocation pathway	BSU05990	CCI-PM-BAC-POS-GP	BSU05990
BSU18000-MONOMER		aconitate hydratase (bifunctional aconitase)	BSU18000	CCI-CYTOSOL-GP	BSU18000
BSU36050-MONOMER		spore coat protein (outer)	BSU36050		BSU36050
BSU26630-MONOMER		transcriptional regulator (LysR family)	BSU26630		BSU26630
BSU31700-MONOMER		competence pheromone precursor (pheromone peptide aa 46->55, geranyl-modified)	BSU31700	CCI-EXTRACELLULAR-GP	BSU31700
BSU35300-MONOMER		translocase binding subunit (ATPase)	BSU35300	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU35300
BSU10440-MONOMER		conserved hypothetical protein	BSU10440		BSU10440
BSU04630-MONOMER		spore shape development protein SsdC	BSU04630	CCI-PM-BAC-POS-GP	BSU04630
BSU09690-MONOMER		stress response protein, UspA family	BSU09690		BSU09690
BSU03580-MONOMER		integral inner membrane protein regulating antibiotic production	BSU03580	CCI-PM-BAC-POS-GP	BSU03580
BSU39680-MONOMER		inosose isomerase	BSU39680		BSU39680
BSU16560-MONOMER		inner membrane zinc metalloprotease required for the extracytoplasmic stress response mediated by sigma(W)	BSU16560	CCI-PM-BAC-POS-GP	BSU16560
BSU38960-MONOMER		putative methyltetrahydrofolate methyltransferase (biofilm formation)	BSU38960		BSU38960
BSU20610-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20610		BSU20610
BSU11430-MONOMER		oligopeptide ABC transporter substrate-binding lipoprotein	BSU11430	CCI-PM-BAC-POS-GP	BSU11430
BSU30310-MONOMER		putative sulfur transferase	BSU30310		BSU30310
BSU14170-MONOMER		short-chain flavodoxin	BSU14170		BSU14170
BSU24220-MONOMER		response regulator, phosphorylated in response to complex YlbF/YmcA/YaaT	BSU24220	CCI-CYTOSOL-GP	BSU24220
BSU21320-MONOMER		conserved exported protein of unknown function; phage SPbeta	BSU21320		BSU21320
BSU33870-MONOMER		conserved protein of unknown function	BSU33870	CCI-PM-BAC-POS-GP	BSU33870
BSU27870-MONOMER		L-aspartate oxidase	BSU27870	CCI-CYTOSOL-GP	BSU27870
BSU05820-MONOMER		oligo-alpha-mannoside phosphotransferase system enzyme IIA	BSU05820	CCI-CYTOSOL-GP	BSU05820
BSU14900-MONOMER		cytochrome caa3 oxidase (subunit I)	BSU14900	CCI-PM-BAC-POS-GP	BSU14900
BSU08260-MONOMER		inositol transporter	BSU08260	CCI-PM-BAC-POS-GP	BSU08260
BSU17840-MONOMER		magnesium-dependent bacillithiol-transferase	BSU17840	CCI-CYTOSOL-GP	BSU17840
BSU31540-MONOMER		guanosine ABC transporter substrate-binding lipoprotein	BSU31540	CCI-PM-BAC-POS-GP	BSU31540
BSU24980-MONOMER		phosphate ABC transporter membrane subunit PstC	BSU24980	CCI-PM-BAC-POS-GP	BSU24980
BSU02170-MONOMER		putative carboxylate transporter	BSU02170	CCI-PM-BAC-POS-GP	BSU02170
BSU35130-MONOMER		conserved protein of unknown function	BSU35130	CCI-PM-BAC-POS-GP	BSU35130
BSU28620-MONOMER		ribonuclease HIII	BSU28620	CCI-CYTOSOL-GP	BSU28620
BSU09520-MONOMER		RNA polymerase ECF (extracytoplasmic function)-type sigma factor (sigma(M))	BSU09520		BSU09520
BSU37550-MONOMER		putative transcriptional regulator (MarR family)	BSU37550		BSU37550
BSU03410-MONOMER		aryl-phospho-beta-d-glucosidase	BSU03410	CCI-CYTOSOL-GP	BSU03410
BSU38800-MONOMER		putative exported polysaccharide deacetylase, lipoprotein	BSU38800	CCI-PM-BAC-POS-GP	BSU38800
BSU06560-MONOMER		putative adenine deaminase YerA	BSU06560		BSU06560
BSU19240-MONOMER		putative general stress protein	BSU19240		BSU19240
BSU20450-MONOMER		putative uronase; phage SPbeta	BSU20450		BSU20450
BSU14020-MONOMER		regulator of transcription factor ComK function via modulation of mRNA stability	BSU14020		BSU14020
BSU00490-MONOMER		regulator required for spore cortex synthesis (stage V sporulation)	BSU00490		BSU00490
BSU11515-MONOMER		conserved hypothetical protein	BSU11515		BSU11515
BSU24060-MONOMER		branched-chain alpha-keto acid dehydrogenase E3 subunit (dihydrolipoamide dehydrogenase)	BSU24060	CCI-CYTOSOL-GP	BSU24060
BSU27720-MONOMER		S-adenosylmethionine tRNA ribosyltransferase-isomerase	BSU27720	CCI-CYTOSOL-GP	BSU27720
BSU32300-MONOMER		conserved protein of unknown function	BSU32300		BSU32300
BSU12820-MONOMER		three-component apoptotic control system component B (antitoxin B)	BSU12820		BSU12820
BSU05660-MONOMER		nitroreductase of unidentified specificity (reduces 5-(aziridin-1-yl)-2,4-dinitrobenzamide prodrug)	BSU05660		BSU05660
BSU17690-MONOMER		conserved exported protein	BSU17690	CCI-EXTRACELLULAR-GP	BSU17690
BSU35890-MONOMER		capsular polyglutamate amide ligase/translocase subunit	BSU35890	CCI-PM-BAC-POS-GP	BSU35890
BSU22810-MONOMER		putative lipoprotein of unknown function	BSU22810		BSU22810
BSU31380-MONOMER		conserved protein of unknown function	BSU31380	CCI-PM-BAC-POS-GP	BSU31380
BSU34970-MONOMER		pyrophosphatase / glycerol-3-phosphatase	BSU34970	CCI-CYTOSOL-GP	BSU34970
BSU10280-MONOMER		putative membrane protein	BSU10280		BSU10280
BSU26470-MONOMER		putative NAD(P)H oxidoreductase	BSU26470		BSU26470
BSU09360-MONOMER		putative exported protein	BSU09360		BSU09360
BSU03260-MONOMER		putative aromatic hydrocarbon hydrolase	BSU03260		BSU03260
BSU39520-MONOMER		<i>N</i>-acetyl-<i>S</i>-(2-succino)-L-cysteine monooxygenase	BSU39520		BSU39520
BSU04470-MONOMER		C4-dicarboxylate transport protein	BSU04470	CCI-PM-BAC-POS-GP	BSU04470
BSU38640-MONOMER		putative transporter	BSU38640	CCI-PM-BAC-POS-GP	BSU38640
BSU20290-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20290		BSU20290
BSU11260-MONOMER		conserved hypothetical protein	BSU11260		BSU11260
BSU16400-MONOMER		GTPase involved in the export of flagella and number regulation	BSU16400	CCI-PM-BAC-POS-GP	BSU16400
BSU13870-MONOMER		putative transcriptional regulator (LacI family)	BSU13870		BSU13870
BSU23900-MONOMER		conserved protein of unknown function	BSU23900		BSU23900
BSU21170-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21170		BSU21170
BSU30150-MONOMER		membrane bound transcriptional regulator (controlling rhamnogalacturonan degradation)	BSU30150	CCI-PM-BAC-POS-GP	BSU30150
BSU27560-MONOMER		histidyl-tRNA synthetase	BSU27560	CCI-CYTOSOL-GP	BSU27560
BSU05510-MONOMER		putative thioredoxin or thiol-disulfide isomerase	BSU05510		BSU05510
BSU14740-MONOMER		anti-SigP(YlaC) sigma factor	BSU14740	CCI-PM-BAC-POS-GP	BSU14740
BSU33710-MONOMER		choline ABC transporter substrate-binding lipoprotein	BSU33710	CCI-PM-BAC-POS-GP	BSU33710
BSU17540-MONOMER		conserved hypothetical protein; defective phage region	BSU17540		BSU17540
BSU31250-MONOMER		methyl-accepting chemotaxis protein (membrane curvature dependent localisation)	BSU31250	CCI-PM-BAC-POS-GP	BSU31250
BSU24820-MONOMER		putative lipoprotein	BSU24820	CCI-PM-BAC-POS-GP	BSU24820
BSU08100-MONOMER		transcriptional regulator (AcoR-acetoin)	BSU08100		BSU08100
BSU34810-MONOMER		conserved protein of unknown function	BSU34810		BSU34810
BSU09200-MONOMER		sortase A	BSU09200	CCI-PM-BAC-POS-GP	BSU09200
BSU28450-MONOMER		succinate dehydrogenase (cytochrome b558 subunit)	BSU28450	CCI-PM-BAC-POS-GP	BSU28450
BSU02010-MONOMER		two-component system sensor histidine kinase [YbdJ]	BSU02010	CCI-PM-BAC-POS-GP	BSU02010
BSU03100-MONOMER		conserved protein of unknown function (similar to phage protein)	BSU03100		BSU03100
BSU38480-MONOMER		(p)ppGpp synthetase	BSU38480		BSU38480
BSU06410-MONOMER		conserved hypothetical protein	BSU06410		BSU06410
BSU37390-MONOMER		putative subtilosin ABC efflux transporter ATP-binding protein	BSU37390		BSU37390
BSU20130-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20130		BSU20130
MONOMER8J2-48		regulator of iron homeostasis	G8J2-19		G8J2-19
BSU00330-MONOMER		regulator of DNA replication initiation YabA	BSU00330		BSU00330
BSU19080-MONOMER		putative metal-dependent hydrolase	BSU19080		BSU19080
BSU13740-MONOMER		CDG synthase	BSU13740		BSU13740
BSU23740-MONOMER		hypothetical protein	BSU23740	CCI-PM-BAC-POS-GP	BSU23740
BSU32140-MONOMER		transcriptional regulator (regulates paiA expression)	BSU32140		BSU32140
BSU40970-MONOMER		chromosome partitioning protein; transcriptional regulator	BSU40970		BSU40970
BSU27420-MONOMER		putative membrane protein of unknown function	BSU27420	CCI-PM-BAC-POS-GP	BSU27420
BSU05370-MONOMER		putative PLP-dependent transcriptional regulator	BSU05370		BSU05370
BSU35730-MONOMER		UDP-glucose:polyglycerol phosphate alpha-glucosyltransferase	BSU35730	CCI-CYTOSOL-GP	BSU35730
BSU12672-MONOMER		phage PBSX; conserved hypothetical protein	BSU12672		BSU12672
BSU17380-MONOMER		ribonucleoside-diphosphate reductase (major subunit)	BSU17380	CCI-CYTOSOL-GP	BSU17380
BSU31090-MONOMER		potassium uptake protein	BSU31090	CCI-PM-BAC-POS-GP	BSU31090
BSU10110-MONOMER		penicillin-binding protein 2C (1F class) required for spore germination	BSU10110	CCI-PM-BAC-POS-GP	BSU10110
BSU22650-MONOMER		phosphoribosylanthranilate isomerase	BSU22650		BSU22650
BSU34660-MONOMER		putative anion transporter	BSU34660	CCI-PM-BAC-POS-GP	BSU34660
BSU09030-MONOMER		hypothetical membrane protein	BSU09030	CCI-PM-BAC-POS-GP	BSU09030
BSU11110-MONOMER		fatty acid kinase fatty acid binding subunit B	BSU11110		BSU11110
BSU26290-MONOMER		putative nuclease; skin element	BSU26290		BSU26290
BSU02940-MONOMER		putative reactive oxygen species resistance protein	BSU02940		BSU02940
BSU38320-MONOMER		metabolic regulator of murein hydrolases	BSU38320	CCI-PM-BAC-POS-GP	BSU38320
BSU39390-MONOMER		histidine degradation metabolites permease	BSU39390	CCI-PM-BAC-POS-GP	BSU39390
BSU04310-MONOMER		putative regulator of exopolysaccharide synthesis	BSU04310	CCI-PM-BAC-POS-GP	BSU04310
BSU19980-MONOMER		conserved hypothetical protein; phage SPbeta	BSU19980	CCI-PM-BAC-POS-GP	BSU19980
BSU13580-MONOMER		2-oxo-4-methylthiobutanoate-glutamine aminotransferase	BSU13580		BSU13580
BSU21010-MONOMER		putative hydrolase lipoprotein; phage SPbeta	BSU21010	CCI-PM-BAC-POS-GP	BSU21010
BSU16250-MONOMER		flagellar synthesis rod subunit of export ATPase	BSU16250	CCI-PM-BAC-POS-GP // CCO-CELL-PROJECTION	BSU16250
BSU23580-MONOMER		exported L-asparaginase	BSU23580	CCI-CYTOSOL-GP	BSU23580
BSU27260-MONOMER		cystathionine beta-synthase for the reverse transsulfuration pathway	BSU27260	CCI-CYTOSOL-GP	BSU27260
BSU14590-MONOMER		pyruvate dehydrogenase (E1 beta subunit)	BSU14590		BSU14590
BSU29970-MONOMER		putative cysteine synthase-like enzyme	BSU29970	CCI-CYTOSOL-GP	BSU29970
BSU05220-MONOMER		putative lipoprotein	BSU05220	CCI-PM-BAC-POS-GP	BSU05220
BSU17220-MONOMER		trans AT polyketide synthase involved in nonribosomal synthesis of bacillaene	BSU17220	CCI-CYTOSOL-GP	BSU17220
BSU24660-MONOMER		factor involved in sporulation	BSU24660		BSU24660
BSU33550-MONOMER		putative integral inner membrane protein	BSU33550	CCI-PM-BAC-POS-GP	BSU33550
BSU30930-MONOMER		putative receptor	BSU30930	CCI-PM-BAC-POS-GP	BSU30930
BSU34500-MONOMER		sodium-proton two component antiporter subunit	BSU34500	CCI-PM-BAC-POS-GP	BSU34500
BSU28290-MONOMER		acetohydroxy-acid isomeroreductase (NADP-dependent)	BSU28290	CCI-CYTOSOL-GP	BSU28290
BSU07940-MONOMER		mechanosensitive ion channel	BSU07940	CCI-PM-BAC-POS-GP	BSU07940
BSU08880-MONOMER		alternative ribosomal protein S14	BSU08880	CCI-RIBOSOME-GP	BSU08880
BSU02780-MONOMER		lipoprotein involved in swarming behaviour	BSU02780	CCI-PM-BAC-POS-GP	BSU02780
BSU06269-MONOMER		hypothetical protein	BSU06269	CCI-PM-BAC-POS-GP	BSU06269
BSU01845-MONOMER		conserved transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog; prophage 1 region	BSU01845		BSU01845
BSU38170-MONOMER		cytochrome aa3-600 quinol oxidase (subunit II)	BSU38170	CCI-PM-BAC-POS-GP	BSU38170
BSU19800-MONOMER		phytase	BSU19800	CCI-EXTRACELLULAR-GP	BSU19800
BSU00170-MONOMER		putative amidase (isochorismatase family)	BSU00170		BSU00170
BSU37230-MONOMER		ABC family transporter, ATP-binding/membrane protein YwjA	BSU37230	CCI-PM-BAC-POS-GP	BSU37230
MONOMER8J2-137		small protein SR7P	G8J2-182		G8J2-182
BSU13430-MONOMER		putative integral membrane protein	BSU13430	CCI-PM-BAC-POS-GP	BSU13430
BSU31980-MONOMER		2,3-dihydroxybenzoate-AMP ligase	BSU31980	CCI-CYTOSOL-GP	BSU31980
BSU18920-MONOMER		secreted regulator of the activity of phosphatase RapK	BSU18920		BSU18920
BSU23430-MONOMER		stage V sporulation protein AB	BSU23430	CCI-PM-BAC-POS-GP	BSU23430
BSU27100-MONOMER		putative amino acid exporter	BSU27100	CCI-PM-BAC-POS-GP	BSU27100
BSU35560-MONOMER		putative hydrolase involved in teichuronic acid synthesis	BSU35560	CCI-PM-BAC-POS-GP	BSU35560
BSU40820-MONOMER		conserved hypothetical protein	BSU40820		BSU40820
BSU05080-MONOMER		putative metal-dependent hydrolase	BSU05080		BSU05080
BSU17050-MONOMER		DNA mismatch repair endonuclease	BSU17050		BSU17050
BSU09958-MONOMER		spore assembly and germination protein	BSU09958	CCI-PM-BAC-POS-GP	BSU09958
BSU12540-MONOMER		phage PBSX; conserved hypothetical protein	BSU12540		BSU12540
BSU30770-MONOMER		Mn<sup>2+</sup> ABC transporter substrate-binding lipoprotein	BSU30770	CCI-PM-BAC-POS-GP	BSU30770
BSU34340-MONOMER		putative extracellular matrix glycosyltransferase	BSU34340		BSU34340
BSU03820-MONOMER		iron(III)-petrobactin ABC transporter ATP-binding protein	BSU03820	CCI-PM-BAC-POS-GP	BSU03820
BSU22490-MONOMER		(4S)-4-hydroxy-2,3,4, 5-tetrahydro-(2S)-dipicolinic acid (HTPA) dehydratase reductase	BSU22490	CCI-CYTOSOL-GP	BSU22490
BSU08730-MONOMER		transcriptional regulator (Fur family)	BSU08730	CCI-CYTOSOL-GP	BSU08730
BSU02620-MONOMER		secreted phosphodiesterase (endo-hydrolysis at non-specific sites throughout the cell wall teichoic acid polymer)	BSU02620		BSU02620
BSU39240-MONOMER		putative transporter	BSU39240	CCI-PM-BAC-POS-GP	BSU39240
BSU26140-MONOMER		putative phage capsid protein; skin element	BSU26140		BSU26140
BSU38018-MONOMER		putative transcriptional regulator, PadR family	BSU38018		BSU38018
BSU19669-MONOMER		hypothetical protein	BSU19669	CCI-PM-BAC-POS-GP	BSU19669
BSU20880-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20880	CCI-PM-BAC-POS-GP	BSU20880
BSU04150-MONOMER		putative oxidoreductase	BSU04150	CCI-CYTOSOL-GP	BSU04150
BSU36215-MONOMER		hypothetical protein	BSU36215		BSU36215
BSU13270-MONOMER		conserved membrane protein of unknown function	BSU13270	CCI-PM-BAC-POS-GP	BSU13270
BSU14440-MONOMER		2-dehydropantoate reductase	BSU14440	CCI-CYTOSOL-GP	BSU14440
BSU16090-MONOMER		succinyl-CoA synthetase (beta subunit)	BSU16090	CCI-CYTOSOL-GP	BSU16090
BSU23270-MONOMER		riboflavin synthase (alpha subunit)	BSU23270		BSU23270
BSU26940-MONOMER		putative lyase	BSU26940		BSU26940
BSU24500-MONOMER		conserved protein of unknown function	BSU24500	CCI-PM-BAC-POS-GP	BSU24500
BSU29805-MONOMER		DNA translocase	BSU29805	CCI-CYTOSOL-GP	BSU29805
BSU04920-MONOMER		ICEBs1 mobile element: subunit of the conjugation machinery	BSU04920	CCI-PM-BAC-POS-GP	BSU04920
BSU16870-MONOMER		EF-P-5 aminopentanone reductase (EF-P repair enzyme), NADPH-dependent	BSU16870		BSU16870
BSU28130-MONOMER		delta-aminolevulinic acid dehydratase (porphobilinogen synthase)	BSU28130	CCI-CYTOSOL-GP	BSU28130
BSU33390-MONOMER		molybdenum transport permease	BSU33390	CCI-PM-BAC-POS-GP	BSU33390
BSU30620-MONOMER		putative ABC transporter membrane subunit YtlD	BSU30620	CCI-PM-BAC-POS-GP	BSU30620
BSU34170-MONOMER		transcriptional regulator of the galactan degradation operon (GanR / beta-1,4-galactobiose)	BSU34170		BSU34170
BSU06110-MONOMER		type-2 restriction enzyme BsuMI component BsuRC (YdjA); prophage region 3	BSU06110		BSU06110
BSU07780-MONOMER		putative spore germination protein	BSU07780	CCI-PM-BAC-POS-GP	BSU07780
BSU08570-MONOMER		putative exported protein	BSU08570		BSU08570
BSU02470-MONOMER		2,5-dioxovalerate dehydrogenase (alpha-ketoglutaric semialdehyde dehydrogenase)	BSU02470		BSU02470
BSU00010-MONOMER		chromosomal replication initiator informational ATPase	BSU00010	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU00010
BSU01670-MONOMER		amidase hydrolyzing N-acetylmuramyl-L-Ala bond of MurNAc peptides	BSU01670		BSU01670
BSU37850-MONOMER		putative glycosyltransferase	BSU37850	CCI-PM-BAC-POS-GP	BSU37850
BSU19530-MONOMER		putative tautomerase	BSU19530		BSU19530
BSU31810-MONOMER		conserved protein of unknown function	BSU31810		BSU31810
BSU37070-MONOMER		ribosomal protein L31	BSU37070	CCI-RIBOSOME-GP	BSU37070
BSU27035-MONOMER		hypothetical protein	BSU27035		BSU27035
BSU13120-MONOMER		glutamate 5-kinase	BSU13120	CCI-CYTOSOL-GP	BSU13120
BSU35400-MONOMER		flagellar hook-filament junction protein	BSU35400	CCI-EXTRACELLULAR-GP // CCO-CELL-PROJECTION	BSU35400
BSU18800-MONOMER		beta-lactamase precursor (putative hydrolase)	BSU18800	CCI-EXTRACELLULAR-GP	BSU18800
BSU23110-MONOMER		ResE two-component sensory histidine kinase	BSU23110	CCI-PM-BAC-POS-GP	BSU23110
BSU26780-MONOMER		bacillithiol <i>S</i>-transferase	BSU26780		BSU26780
BSU09800-MONOMER		conserved hypothetical protein	BSU09800		BSU09800
BSU40660-MONOMER		putative permease	BSU40660	CCI-PM-BAC-POS-GP	BSU40660
BSU04770-MONOMER		putative transcriptional regulator	BSU04770		BSU04770
BSU16700-MONOMER		putative sugar deacetylase	BSU16700		BSU16700
BSU03680-MONOMER		putative uronase	BSU03680		BSU03680
BSU12400-MONOMER		putative permease	BSU12400	CCI-PM-BAC-POS-GP	BSU12400
BSU30450-MONOMER		putative ABC transporter ATP-binding protein YtrB	BSU30450	CCI-PM-BAC-POS-GP	BSU30450
BSU34010-MONOMER		putative leucine permease	BSU34010	CCI-PM-BAC-POS-GP	BSU34010
BSU39080-MONOMER		transcriptional antiterminator (BglG family)	BSU39080	CCI-CYTOSOL-GP	BSU39080
BSU22330-MONOMER		conserved protein of unknown function	BSU22330		BSU22330
BSU08400-MONOMER		putative efflux transporter	BSU08400	CCI-PM-BAC-POS-GP	BSU08400
BSU02310-MONOMER		putative exported hydrolase	BSU02310		BSU02310
BSU20720-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20720		BSU20720
BSU25970-MONOMER		putative phage tail baseplate protein; skin element	BSU25970		BSU25970
BSU37690-MONOMER		phenylalanine aminotransferase forming tetrahydrotyrosine in bacilysin synthesis	BSU37690	CCI-CYTOSOL-GP	BSU37690
BSU19370-MONOMER		2-oxoglutarate dehydrogenase (E1 subunit)	BSU19370	CCI-CYTOSOL-GP	BSU19370
BSU14280-MONOMER		molybdate to molybdopterin ligation enzyme	BSU14280	CCI-CYTOSOL-GP	BSU14280
BSU04000-MONOMER		putative tartrate dehydrogenase	BSU04000		BSU04000
BSU19915-MONOMER		hypothetical protein	BSU19915		BSU19915
BSU12960-MONOMER		dipeptide ABC transporter substrate-binding lipoprotein	BSU12960	CCI-PM-BAC-POS-GP	BSU12960
BSU24340-MONOMER		acetyl-CoA carboxylase subunit (biotin carboxylase subunit)	BSU24340		BSU24340
BSU15930-MONOMER		ribonuclease III	BSU15930	CCI-CYTOSOL-GP	BSU15930
BSU22930-MONOMER		spore germination cortex-lytic enzyme	BSU22930		BSU22930
BSU26619-MONOMER		conserved protein of unknown function	BSU26619		BSU26619
BSU27980-MONOMER		regulator of SpoIVFB (stage IV sporulation)	BSU27980	CCI-PM-BAC-POS-GP	BSU27980
BSU29640-MONOMER		free methionine-(R)-sulfoxide reductase	BSU29640	CCI-CYTOSOL-GP	BSU29640
BSU04610-MONOMER		putative rhomboid protease	BSU04610	CCI-PM-BAC-POS-GP	BSU04610
BSU16540-MONOMER		phosphatidate cytidylyltransferase (CDP-diglyceride synthase)	BSU16540	CCI-PM-BAC-POS-GP	BSU16540
BSU05940-MONOMER		tRNA(NNU) t(6)A37 threonylcarbamoyladenosine modification; glycation binding protein	BSU05940	CCI-CYTOSOL-GP	BSU05940
BSU33239-MONOMER		factor involved in oxalate decarboxylase expression	BSU33239		BSU33239
BSU30290-MONOMER		&alpha;-galactoside ABC transporter membrane subunit MelC	BSU30290	CCI-PM-BAC-POS-GP	BSU30290
BSU33850-MONOMER		putative integral membrane protein	BSU33850	CCI-PM-BAC-POS-GP	BSU33850
BSU17950-MONOMER		putative integral inner membrane protein	BSU17950	CCI-PM-BAC-POS-GP	BSU17950
BSU07610-MONOMER		transporter of divalent metal ions/citrate complexes	BSU07610	CCI-PM-BAC-POS-GP	BSU07610
BSU08240-MONOMER		catechol-2,3-dioxygenase subunit	BSU08240		BSU08240
BSU02150-MONOMER		conserved protein of unknown function	BSU02150	CCI-PM-BAC-POS-GP	BSU02150
BSU31650-MONOMER		Na<sup>+</sup>:H<sup>+</sup> antiporter subunit F	BSU31650	CCI-PM-BAC-POS-GP	BSU31650
BSU01510-MONOMER		putative methyltransferase	BSU01510		BSU01510
BSU37530-MONOMER		putative metal-dependent hydrolase; integral membrane protein	BSU37530	CCI-PM-BAC-POS-GP	BSU37530
