Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Genes of polypeptide, complex, or RNA	Common-Name	Locations
CPLX-8351	BSU38300	BSU38300	3931372	3932190	BSU38300	hydroxyethylthiazole kinase	
CPLX8J2-211	BSU12780	BSU12780	1345839	1346678	BSU12780	phage PBSX; lytic exoenzyme	
CPLX-8621	BSU00140	BSU00140	22496	23149	BSU00140	deoxyadenosine/deoxycytidine kinase	
BSU01430-MONOMER	BSU01430	BSU01430	148931	149875	BSU01430	RNA polymerase (alpha subunit)	CCI-CYTOSOL-GP
BSU05830-MONOMER	BSU05830	BSU05830	627284	628612	BSU05830	oligo-alpha-mannoside phosphotransferase system enzyme IIC	CCI-PM-BAC-POS-GP
BSU32150-MONOMER	BSU32150	BSU32150	3304743	3305261	BSU32150	polyamine N-acetyltransferase	
BSU10670-MONOMER	BSU10670	BSU10670	1148494	1148712	BSU10670	spore germination protein	
BSU21990-MONOMER	BSU21990	BSU21990	2310419	2310817	BSU21990	putative RNA binding protein (no RNase H activity)	
BSU23830-MONOMER	BSU23830	BSU23830	2476969	2477730	BSU23830	putative hydrolase, stress protein	
BSU15390-MONOMER	BSU15390	BSU15390	1610859	1611314	BSU15390	cell division machinery factor	CCI-CYTOSOL-GP
BSU02019-MONOMER	BSU02019	BSU02019	222971	223234	BSU02019	conserved protein of unknown function	
MONOMER8J2-8	BSU29100	BSU29100	2976068	2977807	BSU29100	PhoR sensory histidine kinase, phosphorylated	CCI-CYTOSOL-GP
BSU09800-MONOMER	BSU09800	BSU09800	1054746	1055099	BSU09800	conserved hypothetical protein	
BSU02040-MONOMER	BSU02040	BSU02040	224075	224932	BSU02040	putative antimicrobial protein; prophage region 1	
BSU31945-MONOMER	BSU31945	BSU31945	3279573	3280250	BSU31945	conserved protein of unknown function	
BSU07340-MONOMER	BSU07340	BSU07340	805456	806841	BSU07340	methylthioribose permease	CCI-PM-BAC-POS-GP
BSU20990-MONOMER	BSU20990	BSU20990	2219281	2219469	BSU20990	conserved protein of unknown function; phage SPbeta	
BSU41050-MONOMER	BSU41050	BSU41050	4214753	4215103	BSU41050	protein component of ribonuclease P (RNase P) (substrate specificity)	
CPLX8J2-26	BSU36840 // BSU36830 // BSU36820 // BSU36810 // BSU36800		3785403	3785948	BSU36840 // BSU36830 // BSU36820 // BSU36810 // BSU36800	ATP synthase, F1	
BSU13640-MONOMER	BSU13640	BSU13640	1430684	1430941	BSU13640	negative regulatory aspartyl-phosphate phosphatase acting on Spo0A-P (sporulation)	CCI-CYTOSOL-GP
BSU38270-MONOMER	BSU38270	BSU38270	3927951	3929108	BSU38270	lipoprotein binding ferrous or ferric iron for transport	CCI-PM-BAC-POS-GP
BSU35830-MONOMER	BSU35830	BSU35830	3692533	3693906	BSU35830	putative carbohydrate/proton transporter	CCI-PM-BAC-POS-GP
BSU34280-MONOMER	BSU34280	BSU34280	3518999	3520033	BSU34280	putative glycosyl transferase involved in biofilm matrix formation	
BSU05160-MONOMER	BSU05160	BSU05160	562502	563461	BSU05160	amino acid exporter AexA	CCI-PM-BAC-POS-GP
BSU05290-MONOMER	BSU05290	BSU05290	575712	576098	BSU05290	putative transcriptional regulator	
BSU04600-MONOMER	BSU04600	BSU04600	513283	514764	BSU04600	resistance to heterologous antibiotics	CCI-PM-BAC-POS-GP
BSU22680-MONOMER	BSU22680	BSU22680	2375869	2377416	BSU22680	anthranilate synthase	
BSU37030-MONOMER	BSU37030	BSU37030	3798789	3799343	BSU37030	chromosome-pole-anchoring cell division protein	CCI-CYTOSOL-GP
BSU38450-MONOMER	BSU38450	BSU38450	3946394	3946909	BSU38450	transcriptional regulator controlling expression of tyrZ (d-tyrosine resistance)	CCI-CYTOSOL-GP
BSU25130-MONOMER	BSU25130	BSU25130	2593281	2594174	BSU25130	type IV apurinic/apyrimidinic endonuclease	CCI-CYTOSOL-GP
BSU40139-MONOMER	BSU40139	BSU40139	4123931	4124089	BSU40139	hypothetical protein	CCI-PM-BAC-POS-GP
BSU09610-MONOMER	BSU09610	BSU09610	1037306	1037701	BSU09610	subunit of fluoride efflux transporter	CCI-PM-BAC-POS-GP
BSU16970-MONOMER	BSU16970	BSU16970	1768941	1769735	BSU16970	2'3' and 3'5' cyclic nucleotide monophosphates phosphodiesterase involved in biofilm formation	CCI-CYTOSOL-GP
BSU21600-MONOMER	BSU21600	BSU21600	2278602	2279675	BSU21600	putative toxin-like phage protein; phage SPbeta	
BSU25930-MONOMER	BSU25930	BSU25930	2666884	2667048	BSU25930	structural tail protein; skin element	
BSU01730-MONOMER	BSU01730	BSU01730	194849	195412	BSU01730	RNA polymerase ECF(extracytoplasmic function)-type sigma factor W	
BSU25420-MONOMER	BSU25420	BSU25420	2620717	2621640	BSU25420	putative Na+/anion cotransporter	CCI-PM-BAC-POS-GP
BSU32560-MONOMER	BSU32560	BSU32560	3346298	3347026	BSU32560	FrlR transcriptional regulator (GntR family)	
CPLX8J2-309	BSU03960		448461	449033	BSU03960	YcnK-Cu<SUP>2+</SUP>	
BSU34660-MONOMER	BSU34660	BSU34660	3559979	3561571	BSU34660	putative anion transporter	CCI-PM-BAC-POS-GP
BSU18010-MONOMER	BSU18010	BSU18010	1929481	1929993	BSU18010	putative membrane-bound proteins with a thioredoxin-like domain	CCI-PM-BAC-POS-GP
BSU00890-MONOMER	BSU00890	BSU00890	108674	109774	BSU00890	putative membrane protein possibly involved in RNA binding	
BSU35270-MONOMER	BSU35270	BSU35270	3625741	3626079	BSU35270	cytochrome c551 lipoprotein	CCI-PM-BAC-POS-GP
BSU30570-MONOMER	BSU30570	BSU30570	3131152	3131394	BSU30570	conserved protein of unknown function	
BSU09190-MONOMER	BSU09190	BSU09190	991348	995001	BSU09190	non specific extracellular Ca2+-dependent endonuclease cleaving RNA and DNA	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU14030-MONOMER	BSU14030	BSU14030	1475150	1476442	BSU14030	putative transporter	CCI-PM-BAC-POS-GP
BSU33570-MONOMER	BSU33570	BSU33570	3448693	3449052	BSU33570	putative metabolite-efflux transporter	CCI-PM-BAC-POS-GP
BSU25820-MONOMER	BSU25820	BSU25820	2658006	2658770	BSU25820	conserved protein of unknown function; skin element	
BSU04080-MONOMER	BSU04080	BSU04080	459867	460589	BSU04080	L-5-oxoprolinase (ATP-dependent) subunit B	
BSU28750-MONOMER	BSU28750	BSU28750	2941674	2942975	BSU28750	1,5- arabinoseoligosaccharide-binding lipoprotein	CCI-PM-BAC-POS-GP
BSU37590-MONOMER	BSU37590	BSU37590	3858999	3859499	BSU37590	conserved protein of unknown function	
BSU13850-MONOMER	BSU13850	BSU13850	1451371	1453284	BSU13850	Fe(II) efflux transporter for divalent metals homeostasis	CCI-PM-BAC-POS-GP
BSU28120-MONOMER	BSU28120	BSU28120	2872880	2874172	BSU28120	glutamate-1-semialdehyde 2,1-aminomutase	CCI-CYTOSOL-GP
BSU32460-MONOMER	BSU32460	BSU32460	3334646	3334990	BSU32460	5-hydroxyisourate hydrolase; also uricase subunit	
CPLX8J2-96	BSU13720	BSU13720	1439448	1440107	BSU13720	7-cyano-7-deazaguanine synthetase	
BSU08940-MONOMER	BSU08940	BSU08940	970667	971383	BSU08940	putative sporulation-related protein	
BSU27469-MONOMER	BSU27469	BSU27469	2805501	2805692	BSU27469	spore-associated protein	
BSU23870-MONOMER	BSU23870	BSU23870	2482269	2483513	BSU23870	DNA-damage lesion bypass DNA low fidelity polymerase	CCI-CYTOSOL-GP
BSU28670-MONOMER	BSU28670	BSU28670	2931976	2933082	BSU28670	putative transcriptional regulator (glycolate degradation operon)	
BSU12540-MONOMER	BSU12540	BSU12540	1323802	1324152	BSU12540	phage PBSX; conserved hypothetical protein	
BSU06890-MONOMER	BSU06890	BSU06890	755907	756155	BSU06890	component of the inner spore coat	
BSU00350-MONOMER	BSU00350	BSU00350	43647	43946	BSU00350	putative UvrC-Intron-type (URI) endonuclease	
BSU09530-MONOMER	BSU09530	BSU09530	1030265	1031260	BSU09530	aldo/keto reductase specific for NADPH; protects against methylglyoxal	CCI-CYTOSOL-GP
BSU28900-MONOMER	BSU28900	BSU28900	2954492	2955187	BSU28900	pyruvate import system subunit B	CCI-PM-BAC-POS-GP
BSU35050-MONOMER	BSU35050	BSU35050	3602074	3602547	BSU35050	transcriptional regulator of pulcherriminic acid synthesis	CCI-CYTOSOL-GP
BSU07720-MONOMER	BSU07720	BSU07720	844097	844234	BSU07720	conserved hypothetical protein	
BSU20010-MONOMER	BSU20010	BSU20010	2158724	2159173	BSU20010	putative gyrase inhibitor; phage SPbeta	
BSU18899-MONOMER	BSU18899	BSU18899	2060009	2060233	BSU18899	putative phage protein; putative defective prophage 6	
CPLX8J2-32	BSU27740 // BSU27730		2836165	2836770	BSU27740 // BSU27730	Holliday junction DNA helicase	
BSU26500-MONOMER	BSU26500	BSU26500	2710848	2711075	BSU26500	putative sulfur-carrier protein	
BSU38090-MONOMER	BSU38090	BSU38090	3907844	3910264	BSU38090	extracellular serine protease	CCI-EXTRACELLULAR-GP
BSU24270-MONOMER	BSU24270	BSU24270	2523713	2525614	BSU24270	1-deoxyxylulose-5-phosphate synthase	CCI-CYTOSOL-GP
BSU37560-MONOMER	BSU37560	BSU37560	3854256	3856172	BSU37560	threonyl-tRNA synthetase	CCI-CYTOSOL-GP
BSU37690-MONOMER	BSU37690	BSU37690	3868287	3869486	BSU37690	3-[(2S,5R)-5-hydroxy-7-oxabicyclo[4.1.0]heptan-2-yl]-2-oxopropanoate aminotransferase	CCI-CYTOSOL-GP
BSU14450-MONOMER	BSU14450	BSU14450	1514997	1516229	BSU14450	aminopeptidase	
BSU_18596-MONOMER	BSU_18596	BSU_18596	2028854	2028976	BSU_18596	conserved hypothetical protein	
CPLX8J2-99	BSU35030		3597289	3598020	BSU35030	NagR-<i>N</i>-acetyl-D-glucosamine-6-phosphate	
BSU05770-MONOMER	BSU05770	BSU05770	622808	623290	BSU05770	putative acetyltransferase	
BSU22350-MONOMER	BSU22350	BSU22350	2345433	2346131	BSU22350	DNA-remodelling primosomal protein	
BSU16050-MONOMER	BSU16050	BSU16050	1676532	1677380	BSU16050	ribosome biogenesis GTPase A	CCI-CYTOSOL-GP
BSU03490-MONOMER	BSU03490	BSU03490	387744	398495	BSU03490	surfactin synthetase	CCI-CYTOSOL-GP
BSU14780-MONOMER	BSU14780	BSU14780	1548016	1548333	BSU14780	conserved membrane protein of unknown function	CCI-PM-BAC-POS-GP
BSU25980-MONOMER	BSU25980	BSU25980	2669324	2670370	BSU25980	putative phage baseplate assembly protein; skin element	
BSU22390-MONOMER	BSU22390	BSU22390	2349358	2349528	BSU22390	conserved protein of unknown function	
BSU40810-MONOMER	BSU40810	BSU40810	4190209	4191126	BSU40810	putative efflux transporter	CCI-PM-BAC-POS-GP
BSU24140-MONOMER	BSU24140	BSU24140	2509654	2510772	BSU24140	bifunctional citrate synthase/2-methylcitrate synthase	CCI-CYTOSOL-GP
BSU16030-MONOMER	BSU16030	BSU16030	1675171	1675902	BSU16030	tRNA (guanine<small><sup>37</sup></small>-<em>N</em><small><sup>1</sup></small>)-methyltransferase	CCI-CYTOSOL-GP
CPLX8J2-202	BSU18090 // BSU18100		1933477	1935444	BSU18090 // BSU18100	topoisomerase IV	
BSU01250-MONOMER	BSU01250	BSU01250	140147	140410	BSU01250	ribosomal protein S17 (BS16)	CCI-RIBOSOME-GP
BSU02030-MONOMER	BSU02030	BSU02030	223219	223989	BSU02030	protein kinase D	CCI-CYTOSOL-GP // CCI-CYTOSKELETON-GP
CPLX8J2-243	BSU37390 // BSU37400		3837840	3838559	BSU37390 // BSU37400	putative subtilosin ABC efflux transporter	
CPLX8J2-249	BSU23050 // BSU01450 // BSU01460 // BSU01470		2410017	2410589	BSU23050 // BSU01450 // BSU01460 // BSU01470	putative riboflavin ECF transporter	
BSU13680-MONOMER	BSU13680	BSU13680	1433676	1434461	BSU13680	motility protein B; MotB component of the H+-coupled stator flagellum complex	CCI-PM-BAC-POS-GP
BSU06030-MONOMER	BSU06030	BSU06030	650234	651868	BSU06030	chaperonin large subunit (ATPase activity)	CCI-EXTRACELLULAR-GP // CCI-CYTOSOL-GP
BSU26220-MONOMER	BSU26220	BSU26220	2690989	2691444	BSU26220	putative phage DNA-binding protein; skin element	
BSU13200-MONOMER	BSU13200	BSU13200	1387206	1388039	BSU13200	RsbT co-antagonist protein; sensing component of the anxiosome (aka stressosome)	CCI-CYTOSOL-GP
BSU03540-MONOMER	BSU03540	BSU03540	404458	405015	BSU03540	hypothetical protein	CCI-PM-BAC-POS-GP
BSU09240-MONOMER	BSU09240	BSU09240	997724	998386	BSU09240	promiscuous phosphoglycolate phosphatase / glycerol-3-phosphate phosphatase / 2-deoxyglucose-6-phosphatase	
BSU09370-MONOMER	BSU09370	BSU09370	1011792	1013258	BSU09370	gamma-D-glutamate-meso-diaminopimelate muropeptidase (major autolysin, vegetative)	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
BSU30990-MONOMER	BSU30990	BSU30990	3179306	3179884	BSU30990	thiamin permease subunit of an ECF transporter	CCI-PM-BAC-POS-GP
BSU11790-MONOMER	BSU11790	BSU11790	1252177	1252533	BSU11790	sporulation-specific protein	CCI-PM-BAC-POS-GP
BSU16250-MONOMER	BSU16250	BSU16250	1697196	1697639	BSU16250	flagellar synthesis rod subunit of export ATPase	CCI-PM-BAC-POS-GP // CCO-CELL-PROJECTION
BSU32850-MONOMER	BSU32850	BSU32850	3372740	3373648	BSU32850	proline dehydrogenase 1	
BSU30850-MONOMER	BSU30850	BSU30850	3154735	3155553	BSU30850	spore UTP-glucose-1-phosphate uridylyltransferase	CCI-CYTOSOL-GP
BSU34540-MONOMER	BSU34540	BSU34540	3546234	3546827	BSU34540	ATP-dependent Clp protease proteolytic subunit; Maxwell's discriminator	CCI-CYTOSOL-GP
BSU12850-MONOMER	BSU12850	BSU12850	1350482	1351099	BSU12850	putative PitB transporter accessory protein	
BSU27468-MONOMER	BSU27468	BSU27468	2805348	2805479	BSU27468	spore associated protein	
BSU21850-MONOMER	BSU21850	BSU21850	2299406	2300179	BSU21850	putative 16S rRNA m(2)G1516 methyltransferase	
BSU04610-MONOMER	BSU04610	BSU04610	515016	515615	BSU04610	putative rhomboid protease	CCI-PM-BAC-POS-GP
BSU25780-MONOMER	BSU25780	BSU25780	2655322	2655741	BSU25780	thioredoxin-coupled arsenate reductase; skin element	CCI-CYTOSOL-GP
BSU20928-MONOMER	BSU20928	BSU20928	2212567	2212746	BSU20928	conserved protein of unknown function; phage SPbeta	
BSU15520-MONOMER	BSU15520	BSU15520	1623736	1626951	BSU15520	pyrimidine-specific carbamoyl-phosphate synthetase (large subunit)	CCI-CYTOSOL-GP
BSU10150-MONOMER	BSU10150	BSU10150	1089755	1090330	BSU10150	transcriptional regulator of unknown target	
BSU17570-MONOMER	BSU17570	BSU17570	1887352	1888743	BSU17570	H+-beta xyloside symporter; defective SPbeta-like phage region	CCI-PM-BAC-POS-GP
BSU34300-MONOMER	BSU34300	BSU34300	3521111	3522145	BSU34300	putative glycosyltransferase involved in biofilm formation	
BSU35550-MONOMER	BSU35550	BSU35550	3651097	3651855	BSU35550	putative glycosyltransferase (teichuronic acid)	
BSU28950-MONOMER	BSU28950	BSU28950	2959257	2961188	BSU28950	threonyl-tRNA synthetase	CCI-CYTOSOL-GP
BSU04400-MONOMER	BSU04400	BSU04400	494506	494877	BSU04400	general stress protein glucose starvation induced	
BSU26690-MONOMER	BSU26690	BSU26690	2727160	2728482	BSU26690	low-affinity branched-chain amino acid transporter BrnQ	CCI-PM-BAC-POS-GP
BSU18500-MONOMER	BSU18500	BSU18500	2018554	2019270	BSU18500	putative oxido-reductase	CCI-PM-BAC-POS-GP
BSU29170-MONOMER	BSU29170	BSU29170	2984312	2984695	BSU29170	putative integral inner membrane protein involved in phage exclusion	CCI-PM-BAC-POS-GP
BSU09870-MONOMER	BSU09870	BSU09870	1060988	1061326	BSU09870	K+/H+ modulator of antiporter for K+ efflux	CCI-PM-BAC-POS-GP
BSU37210-MONOMER	BSU37210	BSU37210	3818906	3819178	BSU37210	conserved protein of unknown function	
BSU07130-MONOMER	BSU07130	BSU07130	782958	784298	BSU07130	&alpha;-galacturonidase	
BSU24070-MONOMER	BSU24070	BSU24070	2501549	2502640	BSU24070	butyrate kinase; branched-chain fatty-acid kinase	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU08850-MONOMER	BSU08850	BSU08850	963174	964004	BSU08850	aliphatic sulfonate ABC transporter, membrane subunit	CCI-PM-BAC-POS-GP
BSU13320-MONOMER	BSU13320	BSU13320	1397938	1398093	BSU13320	conserved protein of unknown function involved in sporulation	
BSU38710-MONOMER	BSU38710	BSU38710	3971060	3972433	BSU38710	putative purine/cytosine (pyridoxine) permease	CCI-PM-BAC-POS-GP
BSU12520-MONOMER	BSU12520	BSU12520	1322014	1322850	BSU12520	phage PBSX; conserved hypothetical protein	
BSU41020-MONOMER	BSU41020	BSU41020	4211510	4212889	BSU41020	tRNA modification GTPase and tRNA-U34 5-formylation enzyme	CCI-CYTOSOL-GP
BSU15320-MONOMER	BSU15320	BSU15320	1604771	1605490	BSU15320	RNA polymerase sporulation-specific sigma-29 factor (sigma-E)	
CPLX8J2-5	G-296 // G-297				G-296 // G-297	carbamoyl-phosphate synthetase A	
CPLX8J2-217	BSU29210 // BSU29200		2988693	2989565	BSU29210 // BSU29200	acetyl-CoA carboxylase	
BSU07350-MONOMER	BSU07350	BSU07350	807091	808548	BSU07350	vanillin dehydrogenase	
BSU36660-MONOMER	BSU36660	BSU36660	3768791	3769108	BSU36660	urease (gamma subunit)	CCI-CYTOSOL-GP
BSU24290-MONOMER	BSU24290	BSU24290	2526669	2526923	BSU24290	exodeoxyribonuclease VII (small subunit)	CCI-CYTOSOL-GP
BSU25000-MONOMER	BSU25000	BSU25000	2581771	2583921	BSU25000	transpeptidase (penicillin-binding protein 2A)	CCI-PM-BAC-POS-GP
BSU16020-MONOMER	BSU16020	BSU16020	1674650	1675174	BSU16020	16S rRNA processing protein	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP
BSU09270-MONOMER	BSU09270	BSU09270	1001744	1002322	BSU09270	sn-glycerol-3-phosphate responding transcription antiterminator	
BSU33430-MONOMER	BSU33430	BSU33430	3430598	3432313	BSU33430	assimilatory sulfite reductase (hemoprotein beta-subunit)	
BSU22460-MONOMER	BSU22460	BSU22460	2357078	2358211	BSU22460	N-acetyl-alpha-D-glucosaminyl L-malate synthase; malate glycosyltransferase for bacillithiol synthesis	
BSU36000-MONOMER	BSU36000	BSU36000	3708799	3709566	BSU36000	alpha-acetolactate decarboxylase	
BSU13940-MONOMER	BSU13940	BSU13940	1462813	1463493	BSU13940	putative acetyltransferase / amidohydrolase	
BSU10880-MONOMER	BSU10880	BSU10880	1166737	1168191	BSU10880	putative PLP-dependent transcriptional regulator	
CPLX8J2-130	BSU14340 // BSU14350 // BSU14360 // BSU14370		1503582	1504277	BSU14340 // BSU14350 // BSU14360 // BSU14370	putative transporter, SDP resistance	
CPLX8J2-286	BSU38630	BSU38630	3964997	3966640	BSU38630	major catalase in spores	
BSU27260-MONOMER	BSU27260	BSU27260	2786142	2787065	BSU27260	O-acetylserine dependent cystathionine beta-synthase (PLP-dependent and moonlighting activities)	CCI-CYTOSOL-GP
BSU29250-MONOMER	BSU29250	BSU29250	2995908	2996849	BSU29250	nanoRNase (oligoribonuclease) (3'->5'short substrates, 5'->3' long substrates), 3',5'-bisphosphate nucleotidase	CCI-CYTOSOL-GP
BSU27470-MONOMER	BSU27470	BSU27470	2805704	2806228	BSU27470	forespore-specific sporulation protein	
CPLX-8352	BSU11670	BSU11670	1243735	1244844	BSU11670	glycine oxidase	
BSU34150-MONOMER	BSU34150	BSU34150	3505957	3507213	BSU34150	galacto-oligosaccharides (galactan) oligomer permease	CCI-PM-BAC-POS-GP
BSU08730-MONOMER	BSU08730	BSU08730	944487	944924	BSU08730	transcriptional regulator of the peroxide regulon, sensor of the intracellular Fe2+/Mn2+ ratio	CCI-CYTOSOL-GP
BSU05010-MONOMER	BSU05010	BSU05010	547306	548481	BSU05010	ICEBs1 mobile element: response regulator aspartate phosphatase	CCI-CYTOSOL-GP
BSU10960-MONOMER	BSU10960	BSU10960	1174136	1174765	BSU10960	putative integral inner membrane protein	CCI-PM-BAC-POS-GP
BSU09470-MONOMER	BSU09470	BSU09470	1024865	1026220	BSU09470	putative sodium-dependent transporter	CCI-PM-BAC-POS-GP
BSU25390-MONOMER	BSU25390	BSU25390	2618466	2619779	BSU25390	putative membrane bound peptidase of unkwnown function	CCI-PM-BAC-POS-GP
BSU20580-MONOMER	BSU20580	BSU20580	2195986	2196264	BSU20580	putative membrane bound or exported protein; phage SPbeta	
BSU28830-MONOMER	BSU28830	BSU28830	2951490	2951882	BSU28830	negative regulator of sigma W activation	CCI-PM-BAC-POS-GP
BSU05330-MONOMER	BSU05330	BSU05330	579541	579876	BSU05330	transcriptional regulator (metals sensing ArsR-SmtB repressors family)	CCI-CYTOSOL-GP
BSU17480-MONOMER	BSU17480	BSU17480	1880623	1880967	BSU17480	putative toxin-like phage protein; defective SPbeta-like phage region;	
BSU02100-MONOMER	BSU02100	BSU02100	229525	230778	BSU02100	fatty-acid peroxygenase	
BSU15730-MONOMER	BSU15730	BSU15730	1646999	1647952	BSU15730	methionyl-tRNA formyltransferase	CCI-CYTOSOL-GP
BSU14550-MONOMER	BSU14550	BSU14550	1525386	1526159	BSU14550	putative hydrolase	CCI-CYTOSOL-GP
BSU12150-MONOMER	BSU12150	BSU12150	1284870	1285445	BSU12150	putative exported protein	
BSU17780-MONOMER	BSU17780	BSU17780	1911528	1912334	BSU17780	conserved hypothetical protein; defective SPbeta-like phage region	CCI-PM-BAC-POS-GP
BSU09730-MONOMER	BSU09730	BSU09730	1049142	1049762	BSU09730	putative NADH-flavin oxidoreductase	
BSU04920-MONOMER	BSU04920	BSU04920	538061	538309	BSU04920	ICEBs1 mobile element: subunit of the conjugation machinery	CCI-PM-BAC-POS-GP
BSU31610-MONOMER	BSU31610	BSU31610	3248996	3249427	BSU31610	Na<sup>+</sup>:H<sup>+</sup> antiporter subunit B	CCI-PM-BAC-POS-GP
BSU08070-MONOMER	BSU08070	BSU08070	880007	881035	BSU08070	acetoin dehydrogenase E1 component (TPP-dependent beta subunit)	
BSU27590-MONOMER	BSU27590	BSU27590	2820077	2820475	BSU27590	gly-tRNA(Ala) deacylase / D-Tyr-tRNATyr deacylase	CCI-CYTOSOL-GP
BSU36750-MONOMER	BSU36750	BSU36750	3776722	3777753	BSU36750	lytic transglycosylase; autolysin required for complete dissolution of the asymmetric septum (stage II sporulation); SpoIIDMP complex	CCI-CYTOSOL-GP
BSU03660-MONOMER	BSU03660	BSU03660	415350	416195	BSU03660	putative proline iminopeptidase	
BSU00110-MONOMER	BSU00110	BSU00110	19062	19946	BSU00110	pyridoxal 5'-phosphate synthase complex PdxS synthase subunit	
BSU32270-MONOMER	BSU32270	BSU32270	3316330	3317349	BSU32270	spore coat-associated protein	CCI-PM-BAC-POS-GP
BSU05640-MONOMER	BSU05640	BSU05640	608933	609391	BSU05640	putative transcriptional regulator (MarR family)	
BSU05650-MONOMER	BSU05650	BSU05650	609388	612045	BSU05650	putative transporter	CCI-PM-BAC-POS-GP
CPLX8J2-20	BSU33440 // BSU33430		3432339	3434156	BSU33440 // BSU33430	sulfite reductase	
BSU21260-MONOMER	BSU21260	BSU21260	2243642	2243992	BSU21260	putative tail phage assembly protein; phage SPbeta	
BSU20150-MONOMER	BSU20150	BSU20150	2168114	2168461	BSU20150	conserved protein of unknown function; phage SPbeta	CCI-PM-BAC-POS-GP
BSU35880-MONOMER	BSU35880	BSU35880	3697821	3698963	BSU35880	capsular polyglutamate synthetase (acid resistance)	
BSU35990-MONOMER	BSU35990	BSU35990	3708172	3708699	BSU35990	nitroreductase (unidentified substrate); putative potassium homeostasis protein	CCI-CYTOSOL-GP
BSU36520-MONOMER	BSU36520	BSU36520	3758016	3758366	BSU36520	nitrogen-regulated PII-like regulator protein	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
